rank,score,vendor,slug,model,u_height,category,image_coverage,netbox_path,rationale
"1","61","APC","apc-ap4434a","AP4434A","1","power","both","device-types/APC/AP4434A.yaml","power, front+rear image, 1U footprint"
"2","51","Eaton","eaton-tripp-lite-smart1500lcd","Tripp Lite SMART1500LCD","2","power","both","device-types/Eaton/Tripp-Lite-SMART1500LCD.yaml","power, front+rear image, 2U footprint"
"3","48","Dell","dell-powerswitch-s5232f-on","PowerSwitch S5232F-ON","1","network","single","device-types/Dell/PowerSwitch-s5232f-on.yaml","network, single-side image, 1U footprint"
"4","51","HPE","hpe-aruba-2930f-12g-poep-2sfpp","Aruba 2930F-12G-PoE+-2SFP+","1","server","both","device-types/HPE/Aruba-2930F-12G-PoEP-2SFPP.yaml","server, front+rear image, 1U footprint"
"5","43","Fortinet","fortinet-fs-3032g","FortiSwitch 3032G","1","network","both","device-types/Fortinet/FS-3032G.yaml","network, front+rear image, 1U footprint"
"6","42","Palo Alto","palo-alto-pa-5430","PA-5430","2","network","both","device-types/Palo Alto/PA-5430.yaml","network, front+rear image, 2U footprint"
"7","41","Juniper","juniper-ex3400-48p","EX3400-48P","1","network","both","device-types/Juniper/EX3400-48P.yaml","network, front+rear image, 1U footprint"
"8","41","Cisco","cisco-c1300-12xs","Catalyst 1300-12XS","1","network","both","device-types/Cisco/C1300-12XS.yaml","network, front+rear image, 1U footprint"
"9","41","Arista","arista-dcs-7020tr-48-f","DCS-7020TR-48-F","1","network","both","device-types/Arista/DCS-7020TR-48-F.yaml","network, front+rear image, 1U footprint"
"10","61","APC","apc-ap4450a","AP4450A","1","power","both","device-types/APC/AP4450A.yaml","power, front+rear image, 1U footprint"
"11","51","Eaton","eaton-tripp-lite-smart1500rmxl2ua","Tripp Lite SMART1500RMXL2UA","2","power","both","device-types/Eaton/Tripp-Lite-SMART1500RMXL2UA.yaml","power, front+rear image, 2U footprint"
"12","48","Dell","dell-powerswitch-s5248f-on","PowerSwitch S5248F-ON","1","network","single","device-types/Dell/PowerSwitch-s5248f-on.yaml","network, single-side image, 1U footprint"
