rank,score,vendor,slug,model,u_height,category,image_coverage,netbox_path,rationale
"1","51","Ubiquiti","ubiquiti-unifi-switch-24-poe-gen2","UniFi Switch 24 PoE Gen2","1","network","none","device-types/Ubiquiti/USW-24-PoE.yaml","network, no image, 1U footprint"
"2","51","MikroTik","mikrotik-crs109-8g-1s-2hnd-in","CRS109-8G-1S-2HnD-IN","1","network","none","device-types/MikroTik/CRS109-8G-1S-2HnD-IN.yaml","network, no image, 1U footprint"
"3","41","Eaton","eaton-tripp-lite-pduh20hvl6","Tripp Lite PDUH20HVL6","1","power","none","device-types/Eaton/Tripp-Lite-PDUH20HVL6.yaml","power, no image, 1U footprint"
"4","30","Vertiv","vertiv-acs8016dac","ACS8016DAC","1","power","none","device-types/Vertiv/ACS8016DAC.yaml","power, no image, 1U footprint"
"5","41","Dell","dell-powerswitch-n1124p-on","PowerSwitch N1124P-ON","1","network","none","device-types/Dell/PowerSwitch-N1124P-ON.yaml","network, no image, 1U footprint"
"6","40","Supermicro","supermicro-iot-superserver-sys-510d-8c-fn6p","IoT SuperServer SYS-510D-8C-FN6P","1","server","none","device-types/Supermicro/SYS-510D-8C-FN6P.yaml","server, no image, 1U footprint"
"7","51","HPE","hpe-aruba-3810m-48g-poep-1-slot","Aruba 3810M 48G PoeP 1-slot","1","server","both","device-types/HPE/Aruba-3810M-48G-PoEP-1-slot.yaml","server, front+rear image, 1U footprint"
"8","40","Netgear","netgear-jgs524","JGS524","1","network","none","device-types/Netgear/JGS524.yaml","network, no image, 1U footprint"
"9","40","TP-Link","tp-link-tl-sx3008f","TL-SX3008F","1","network","none","device-types/TP-Link/TL-SX3008F.yaml","network, no image, 1U footprint"
"10","40","Palo Alto","palo-alto-pa-5260","PA-5260","3","network","both","device-types/Palo Alto/PA-5260.yaml","network, front+rear image"
"11","41","Juniper","juniper-ex4000-24p","EX4000-24P","1","network","both","device-types/Juniper/EX4000-24P.yaml","network, front+rear image, 1U footprint"
